usage_id,usage_date,usage_time,student_id,resource_type,building_name,duration_minutes,checkin_method,is_peak_time
1,2025-10-24,20:41:00,S02766,ComputerLab,Thode Library,52,MobileApp,True
2,2025-10-24,12:47:00,S03514,StudyRoom,ITB,120,CardSwipe,True
3,2025-10-24,18:53:00,S00176,Library,Thode Library,105,CardSwipe,True
4,2025-10-24,19:50:00,S00131,Gym,DBAC,66,FrontDesk,True
5,2025-10-24,18:53:00,S01351,StudyRoom,Mills Library,108,FrontDesk,True
6,2025-10-24,12:49:00,S02744,Library,Mills Library,50,MobileApp,True
7,2025-10-24,14:51:00,S04749,Cafeteria,Thode Library,105,MobileApp,False
8,2025-10-24,20:13:00,S00818,StudyRoom,Mills Library,109,CardSwipe,True
9,2025-10-24,21:46:00,S00423,Gym,DBAC,107,MobileApp,True
10,2025-10-24,11:35:00,S04296,ComputerLab,ITB,59,FrontDesk,True
11,2025-10-24,14:54:00,S00193,Library,Thode Library,58,FrontDesk,False
12,2025-10-24,14:12:00,S01232,Library,Mills Library,97,MobileApp,False
13,2025-10-24,19:33:00,S02822,Gym,JHE,91,CardSwipe,True
14,2025-10-24,12:32:00,S00665,Cafeteria,ITB,95,MobileApp,True
15,2025-10-24,10:17:00,S03296,Cafeteria,Mills Library,102,MobileApp,False
16,2025-10-24,18:58:00,S04191,Library,Thode Library,83,CardSwipe,True
17,2025-10-24,21:42:00,S02520,Gym,DBAC,93,MobileApp,True
18,2025-10-24,20:15:00,S03534,Cafeteria,PGCLL,118,CardSwipe,True
19,2025-10-24,19:34:00,S01422,StudyRoom,JHE,133,CardSwipe,True
20,2025-10-24,20:19:00,S01233,StudyRoom,ITB,112,FrontDesk,True
21,2025-10-24,20:51:00,S04584,Library,Mills Library,118,FrontDesk,True
22,2025-10-24,17:45:00,S04126,StudyRoom,Mills Library,64,MobileApp,False
23,2025-10-24,11:00:00,S01722,Gym,JHE,86,MobileApp,True
24,2025-10-24,20:40:00,S03101,Cafeteria,ITB,102,CardSwipe,True
25,2025-10-24,14:43:00,S02965,Gym,Thode Library,67,CardSwipe,False
26,2025-10-24,18:05:00,S03690,ComputerLab,JHE,15,MobileApp,True
27,2025-10-24,14:51:00,S03993,ComputerLab,PGCLL,65,FrontDesk,False
28,2025-10-24,12:49:00,S02166,Gym,ITB,104,FrontDesk,True
29,2025-10-24,17:58:00,S04618,Gym,DBAC,96,FrontDesk,False
30,2025-10-24,20:28:00,S04412,Library,JHE,54,MobileApp,True
31,2025-10-24,14:02:00,S01064,StudyRoom,ITB,78,FrontDesk,False
32,2025-10-24,21:02:00,S01613,Gym,ITB,69,MobileApp,True
33,2025-10-24,13:12:00,S00751,Gym,PGCLL,64,CardSwipe,True
34,2025-10-24,18:01:00,S03222,ComputerLab,PGCLL,148,FrontDesk,True
35,2025-10-24,14:20:00,S03780,Gym,DBAC,81,CardSwipe,False
36,2025-10-24,13:56:00,S03829,Library,Thode Library,122,FrontDesk,True
37,2025-10-24,21:09:00,S02749,Library,PGCLL,161,CardSwipe,True
38,2025-10-24,18:52:00,S03571,Library,ITB,96,MobileApp,True
39,2025-10-24,19:02:00,S03880,Library,Thode Library,89,CardSwipe,True
40,2025-10-24,12:57:00,S00862,Cafeteria,JHE,91,FrontDesk,True
41,2025-10-24,21:41:00,S01757,StudyRoom,DBAC,99,CardSwipe,True
42,2025-10-24,15:44:00,S02866,Gym,PGCLL,91,CardSwipe,False
43,2025-10-24,19:18:00,S03222,ComputerLab,ITB,121,MobileApp,True
