usage_id,usage_date,usage_time,student_id,resource_type,building_name,duration_minutes,checkin_method,is_peak_time
1,2025-10-22,11:31:00,S02527,StudyRoom,ITB,108,FrontDesk,True
2,2025-10-22,20:02:00,S03250,Cafeteria,Thode Library,49,MobileApp,True
3,2025-10-22,12:28:00,S03513,Library,Mills Library,83,MobileApp,True
4,2025-10-22,10:33:00,S03637,Gym,DBAC,72,FrontDesk,False
5,2025-10-22,20:25:00,S03542,Library,Mills Library,101,MobileApp,True
6,2025-10-22,12:16:00,S03097,StudyRoom,Mills Library,88,FrontDesk,True
7,2025-10-22,17:21:00,S02029,Gym,ITB,97,FrontDesk,False
8,2025-10-22,20:26:00,S04648,StudyRoom,ITB,95,FrontDesk,True
9,2025-10-22,15:13:00,S04482,Library,Mills Library,127,FrontDesk,False
10,2025-10-22,21:02:00,S02367,Gym,Thode Library,77,CardSwipe,True
11,2025-10-22,20:58:00,S02633,Gym,JHE,122,CardSwipe,True
12,2025-10-22,11:29:00,S01930,Gym,Thode Library,52,MobileApp,True
13,2025-10-22,19:44:00,S02737,Gym,PGCLL,32,FrontDesk,True
14,2025-10-22,19:25:00,S00523,ComputerLab,Mills Library,52,MobileApp,True
15,2025-10-22,17:23:00,S00901,Gym,DBAC,157,CardSwipe,False
16,2025-10-22,18:06:00,S01755,StudyRoom,Thode Library,55,CardSwipe,True
17,2025-10-22,12:47:00,S03381,StudyRoom,DBAC,122,MobileApp,True
18,2025-10-22,14:37:00,S00357,Library,Mills Library,79,MobileApp,False
19,2025-10-22,14:29:00,S02965,Library,Mills Library,69,FrontDesk,False
20,2025-10-22,19:41:00,S02214,ComputerLab,PGCLL,76,FrontDesk,True
21,2025-10-22,19:57:00,S02834,Gym,PGCLL,81,CardSwipe,True
22,2025-10-22,12:25:00,S02032,StudyRoom,DBAC,115,CardSwipe,True
23,2025-10-22,21:49:00,S03654,StudyRoom,Mills Library,63,FrontDesk,True
24,2025-10-22,21:52:00,S04903,Library,ITB,137,MobileApp,True
25,2025-10-22,12:52:00,S02879,Cafeteria,PGCLL,71,MobileApp,True
26,2025-10-22,17:54:00,S02720,Library,Thode Library,21,MobileApp,False
27,2025-10-22,13:11:00,S02818,StudyRoom,JHE,153,FrontDesk,True
28,2025-10-22,21:01:00,S01425,StudyRoom,DBAC,103,FrontDesk,True
29,2025-10-22,16:52:00,S04448,Cafeteria,PGCLL,97,FrontDesk,False
30,2025-10-22,19:13:00,S04076,Library,Mills Library,69,FrontDesk,True
31,2025-10-22,12:42:00,S02646,Library,JHE,115,FrontDesk,True
32,2025-10-22,12:49:00,S01786,Cafeteria,ITB,115,FrontDesk,True
33,2025-10-22,21:59:00,S03779,Cafeteria,ITB,89,FrontDesk,True
